epoch,loss,accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_5_accuracy,elapsed_s
1,5.184628963470459,0.0486361235380172,0.1528336852788925,3.8897767066955566,0.1982020586729049,0.4852311611175537,2334.8173151016235
2,3.92750883102417,0.2033633440732956,0.4835275411605835,3.3006820678710938,0.3187071979045868,0.6542165875434875,1862.4811387062075
3,3.517535924911499,0.2938294410705566,0.5949814915657043,2.991517782211304,0.391160100698471,0.7306292653083801,1745.2103898525238
4,3.336308479309082,0.3392743766307831,0.6366260647773743,3.045637607574463,0.3850599229335785,0.7075128555297852,1661.411277294159
5,3.2428202629089355,0.3615068793296814,0.6560513973236084,2.815430164337158,0.4453125,0.7592037916183472,1694.4678618907928
6,3.108273983001709,0.3960540294647217,0.6840571761131287,2.60977840423584,0.506314218044281,0.8039383292198181,1736.1949126720428
7,2.963953971862793,0.4332494735717773,0.7120895385742188,2.6077380180358887,0.5092037916183472,0.801369845867157,1719.0060698986051
8,2.8441898822784424,0.4673464000225067,0.7326536178588867,2.4616408348083496,0.547196090221405,0.8319777250289917,1627.3052248954773
9,2.749230146408081,0.4926112294197082,0.7514830231666565,2.281820297241211,0.6022046208381653,0.8503852486610413,1692.4329051971436
10,2.66552996635437,0.5161281824111938,0.7649761438369751,2.204484224319458,0.615368127822876,0.8657962083816528,1703.1624274253843
11,2.6024491786956787,0.5318326354026794,0.7748278379440308,2.1709227561950684,0.6305650472640991,0.8698630332946777,1674.1533119678495
12,2.526742935180664,0.5520921349525452,0.7860963940620422,2.069685935974121,0.6645976305007935,0.8790667653083801,1658.176488161087
13,2.483248472213745,0.5653469562530518,0.7941074967384338,2.028339147567749,0.6717679500579834,0.883133590221405,1706.2526650428772
14,2.429572820663452,0.5796874761581421,0.7999602556228638,2.022746562957764,0.6725171208381653,0.8850599527359009,1877.093894004821
15,2.393214702606201,0.5888506174087524,0.8052436709403992,1.954763531684876,0.6953125,0.8953338861465454,1765.220582962036
16,2.3504772186279297,0.6008077263832092,0.81313556432724,1.98414945602417,0.6853595972061157,0.8890196681022644,1724.66198015213
17,2.315542936325073,0.6103283762931824,0.819398820400238,1.891490578651428,0.7153253555297852,0.9015411138534546,1717.6376893520355
18,2.2713606357574463,0.6233977675437927,0.8228284120559692,1.8171029090881348,0.7333047986030579,0.9147046208381652,1704.474176645279
19,2.2425999641418457,0.6308924555778503,0.8290783762931824,1.837098479270935,0.7288099527359009,0.9086044430732728,1761.9137589931488
20,2.212038516998291,0.6391552090644836,0.8333156704902649,1.8010156154632568,0.7370505332946777,0.9093536138534546,1704.224865436554
21,2.182161808013916,0.647523820400238,0.8362420797348022,1.802300214767456,0.7371575236320496,0.9096746444702148,1768.072964668274
22,2.14882230758667,0.6561440825462341,0.8411017060279846,1.7154258489608765,0.7655179500579834,0.9197345972061156,1737.793523311615
23,2.1236732006073,0.6629369854927063,0.8446769118309021,1.7361063957214355,0.7555650472640991,0.9165239930152892,1737.75146651268
24,2.1008081436157227,0.6699417233467102,0.8479872941970825,1.6849806308746338,0.7745077013969421,0.921125829219818,1687.4914951324463
25,2.077672243118286,0.6763108968734741,0.8502383232116699,1.729284167289734,0.7640196681022644,0.9172731041908264,2709.408375263214
26,2.048738479614258,0.6839115619659424,0.8543696999549866,1.6722466945648191,0.7777183055877686,0.9223030805587769,2469.690824508667
27,2.024386167526245,0.6907971501350403,0.8590439558029175,1.6772104501724243,0.7781463861465454,0.9242294430732728,2134.37522816658
28,2.0060372352600098,0.6945577263832092,0.8610831499099731,1.6493511199951172,0.7870290875434875,0.9261558055877686,2192.1487135887146
29,1.9827454090118408,0.7021186351776123,0.8646848797798157,1.647777080535889,0.7847816944122314,0.928938329219818,2128.1691451072693
30,1.953661322593689,0.7101430296897888,0.8674523234367371,1.6112579107284546,0.795055627822876,0.9309717416763306,1987.5960516929624
31,1.933101177215576,0.7159824967384338,0.8702859878540039,1.604168176651001,0.795376718044281,0.9328981041908264,2152.9830067157745
32,1.915590643882752,0.7205111384391785,0.8736493587493896,1.6110731363296509,0.7996575236320496,0.9285102486610411,2081.7422394752502
33,1.900723934173584,0.7257415056228638,0.8749205470085144,1.6041914224624634,0.796875,0.9312928318977356,2193.9148268699646
34,1.876852989196777,0.732044517993927,0.8767346143722534,1.5728697776794434,0.8041523694992065,0.9325770735740662,2163.751250267029
35,1.864699363708496,0.7347457408905029,0.8801377415657043,1.5857568979263306,0.803189218044281,0.9320419430732728,2072.2545173168182
36,1.8348181247711184,0.742968738079071,0.8839247822761536,1.563506007194519,0.8116438388824463,0.9333261847496032,2254.507001161576
37,1.8286582231521609,0.7447034120559692,0.882415235042572,1.5726944208145142,0.8053296208381653,0.9349315166473388,2250.2101669311523
38,1.802504658699036,0.7518802881240845,0.887116014957428,1.5478403568267822,0.8167808055877686,0.935680627822876,2479.3975088596344
